"Folketal den 1. i kvartalet efter civilstand, tid, alder og køn"

" "," "," ","Mænd","Kvinder"
"I alt"
" ","2020K1"
" "," ","0 år",31649,29817
" "," ","1 år",31880,30036
" "," ","2 år",31833,30315
" "," ","3 år",32347,30350
" "," ","4 år",30577,29084
" "," ","5 år",30308,28685
" "," ","6 år",29872,28543
" "," ","7 år",31307,29438
" "," ","8 år",31510,30416
" "," ","9 år",34130,32392
" "," ","10 år",34062,32192
" "," ","11 år",35382,33267
" "," ","12 år",34682,32991
" "," ","13 år",35201,33322
" "," ","14 år",34417,33113
" "," ","15 år",34643,33125
" "," ","16 år",34775,33173
" "," ","17 år",34560,32744
" "," ","18 år",35025,33614
" "," ","19 år",36640,34983
" "," ","20 år",36827,35304
" "," ","21 år",37812,36089
" "," ","22 år",39044,37418
" "," ","23 år",39767,38262
" "," ","24 år",41504,39864
" "," ","25 år",41928,40510
" "," ","26 år",40937,39252
" "," ","27 år",41554,39611
" "," ","28 år",39904,38593
" "," ","29 år",40085,38436
" "," ","30 år",38816,37393
" "," ","31 år",37747,36056
" "," ","32 år",36217,34463
" "," ","33 år",35612,34014
" "," ","34 år",34443,33585
" "," ","35 år",33311,32167
" "," ","36 år",32379,31710
" "," ","37 år",33255,32197
" "," ","38 år",32673,32275
" "," ","39 år",34359,34136
" "," ","40 år",34974,34606
" "," ","41 år",35753,35548
" "," ","42 år",35440,35315
" "," ","43 år",36910,36466
" "," ","44 år",39408,39739
" "," ","45 år",38932,38986
" "," ","46 år",38709,38742
" "," ","47 år",40308,40482
" "," ","48 år",40095,39494
" "," ","49 år",38101,38040
" "," ","50 år",38111,37517
" "," ","51 år",39539,38723
" "," ","52 år",41893,41382
" "," ","53 år",44836,44070
" "," ","54 år",43154,42681
" "," ","55 år",42118,41290
" "," ","56 år",40823,40491
" "," ","57 år",38273,38166
" "," ","58 år",36902,37049
" "," ","59 år",36703,36723
" "," ","60 år",34730,35205
" "," ","61 år",34694,35175
" "," ","62 år",34149,34667
" "," ","63 år",33927,34765
" "," ","64 år",33161,33898
" "," ","65 år",31825,33384
" "," ","66 år",32169,33442
" "," ","67 år",31049,32538
" "," ","68 år",30315,31546
" "," ","69 år",30376,32631
" "," ","70 år",29697,32108
" "," ","71 år",30993,33197
" "," ","72 år",32285,34751
" "," ","73 år",32812,34931
" "," ","74 år",30676,33104
" "," ","75 år",27805,30973
" "," ","76 år",24623,28155
" "," ","77 år",22530,25724
" "," ","78 år",19073,22295
" "," ","79 år",17582,21076
" "," ","80 år",15901,19331
" "," ","81 år",14712,18281
" "," ","82 år",12955,17030
" "," ","83 år",11435,15148
" "," ","84 år",9753,13417
" "," ","85 år",8428,12276
" "," ","86 år",7180,10783
" "," ","87 år",6027,9620
" "," ","88 år",4999,8432
" "," ","89 år",4128,7462
" "," ","90 år",3353,6364
" "," ","91 år",2697,5671
" "," ","92 år",2034,4667
" "," ","93 år",1604,4001
" "," ","94 år",1134,3189
" "," ","95 år",776,2489
" "," ","96 år",505,1817
" "," ","97 år",326,1252
" "," ","98 år",229,964
" "," ","99 år",139,683
" "," ","100 år",86,404
" "," ","101 år",50,240
" "," ","102 år",13,121
" "," ","103 år",15,93
" "," ","104 år",4,50
" "," ","105 år",3,27
" "," ","106 år",3,15
" "," ","107 år",2,6
" "," ","108 år",0,0
" "," ","109 år",0,1
" "," ","110 år",0,0

